,Recent_price
A,126.44000244140625
AAL,19.0
AAP,218.67999267578125
AAPL,165.2899932861328
ABBV,162.30999755859375
ABC,161.2100067138672
ABMD,306.0799865722656
ABT,117.69000244140625
ACN,319.4700012207031
ADBE,420.44000244140625
ADI,156.5
ADM,96.91000366210938
ADP,229.1999969482422
ADSK,196.72999572753906
AEE,96.25
AEP,102.04000091552734
AES,24.40999984741211
AFL,65.33000183105469
AIG,63.029998779296875
AIZ,189.3000030517578
AJG,180.61000061035156
AKAM,118.98999786376953
ALB,210.88999938964844
ALGN,409.82000732421875
ALK,57.11000061035156
ALL,141.16000366210938
ALLE,107.43000030517578
AMAT,113.36000061035156
AMCR,11.670000076293945
AMD,93.05999755859375
AME,127.05000305175781
AMGN,254.02000427246094
AMP,290.7300109863281
AMT,255.5399932861328
AMZN,3034.1298828125
ANET,126.58000183105469
ANSS,282.3299865722656
ANTM,516.719970703125
AON,328.260009765625
AOS,63.790000915527344
APA,43.68000030517578
APD,246.83999633789062
APH,70.37999725341797
APTV,107.51000213623047
ARE,196.17999267578125
ATO,119.73999786376953
ATVI,78.93000030517578
AVB,246.61000061035156
AVGO,573.8499755859375
AVY,166.49000549316406
AWK,166.16000366210938
AXP,181.16000366210938
AZO,2164.60009765625
BA,181.94000244140625
BAC,37.56999969482422
BAX,76.44000244140625
BBWI,52.189998626708984
BBY,93.83999633789062
BDX,271.67999267578125
BEN,25.56999969482422
BF-B,68.5
BIIB,212.5500030517578
BIO,548.1900024414062
BK,47.290000915527344
BKNG,2227.2900390625
BKR,37.290000915527344
BLK,688.1699829101562
BLL,87.1500015258789
BMY,77.51000213623047
BR,153.52000427246094
BRK-B,344.3299865722656
BRO,71.26000213623047
BSX,44.25
BWA,37.0099983215332
BXP,124.58999633789062
C,50.93000030517578
CAG,35.619998931884766
CAH,62.959999084472656
CARR,41.279998779296875
CAT,227.80999755859375
CB,210.52000427246094
CBOE,117.33000183105469
CBRE,85.55999755859375
CCI,192.67999267578125
CCL,19.559999465942383
CDAY,60.630001068115234
CDNS,149.8000030517578
CDW,172.97000122070312
CE,145.1699981689453
CEG,62.54999923706055
CERN,93.30000305175781
CF,108.41000366210938
CFG,40.869998931884766
CHD,102.6500015258789
CHRW,103.27999877929688
CHTR,555.3200073242188
CI,259.2099914550781
CINF,138.19000244140625
CL,80.94000244140625
CLX,145.57000732421875
CMA,88.37000274658203
CMCSA,47.58000183105469
CME,237.66000366210938
CMG,1603.1700439453125
CMI,195.94000244140625
CMS,71.55000305175781
CNC,86.54000091552734
CNP,32.400001525878906
COF,132.58999633789062
COO,399.6199951171875
COP,101.37000274658203
COST,590.3900146484375
CPB,46.20000076293945
CPRT,116.9800033569336
CPT,164.6199951171875
CRL,284.6300048828125
CRM,189.41000366210938
CSCO,51.16999816894531
CSX,35.060001373291016
CTAS,413.6700134277344
CTLT,97.31999969482422
CTRA,29.420000076293945
CTSH,84.73999786376953
CTVA,61.0099983215332
CTXS,102.23999786376953
CVS,103.68000030517578
CVX,171.58999633789062
CZR,68.87999725341797
D,87.4000015258789
DAL,42.36000061035156
DD,68.69999694824219
DE,436.75
DFS,112.18000030517578
DG,248.77000427246094
DGX,135.9199981689453
DHI,72.51000213623047
DHR,276.9800109863281
DIS,130.47000122070312
DISH,33.189998626708984
DLR,145.02000427246094
DLTR,173.0500030517578
DOV,146.38999938964844
DOW,65.48999786376953
DPZ,387.239990234375
DRE,58.25
DRI,131.4499969482422
DTE,137.1699981689453
DUK,114.8499984741211
DVA,121.44999694824219
DVN,62.560001373291016
DXC,31.25
DXCM,492.1099853515625
EA,122.5999984741211
EBAY,54.150001525878906
ECL,176.60000610351562
ED,98.02999877929688
EFX,216.3800048828125
EIX,71.83999633789062
EL,263.8699951171875
EMN,107.91000366210938
EMR,92.86000061035156
ENPH,190.50999450683594
EOG,122.94000244140625
EPAM,290.05999755859375
EQIX,735.239990234375
EQR,90.43000030517578
ES,92.5999984741211
ESS,345.510009765625
ETN,139.91000366210938
ETR,124.19999694824219
ETSY,115.79000091552734
EVRG,70.80999755859375
EW,120.0199966430664
EXC,49.029998779296875
EXPD,96.69000244140625
EXPE,191.5500030517578
EXR,212.5500030517578
F,15.479999542236328
FANG,138.44000244140625
FAST,56.0099983215332
FB,210.17999267578125
FBHS,69.63999938964844
FCX,49.189998626708984
FDS,420.57000732421875
FDX,205.74000549316406
FE,47.400001525878906
FFIV,199.52999877929688
FIS,102.44999694824219
FISV,99.66999816894531
FITB,39.0099983215332
FLT,258.6700134277344
FMC,136.7899932861328
FOX,35.849998474121094
FOXA,39.119998931884766
FRC,160.75
FRT,123.26000213623047
FTNT,331.760009765625
FTV,58.18000030517578
GD,243.74000549316406
GE,90.83000183105469
GILD,61.81999969482422
